NAME,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,3_year_moving_average_1,3_year_moving_average_2,3_year_moving_average_3,Revenue_2020
XGVQ,266108,580246,993343,2685776,2761081,36,36,20,19,613232.3333,1419788.333,2146733.333,7604181.029
SFXF,145722,462571,3012701,3223197,2648370,45,57,61,56,1206998,2232823,2961422.667,9130341.999
OZZY,371747,1103591,2074791,2565728,1528964.25,22,28,41,45,1183376.333,1914703.333,2056494.417,4384747.961
SAAN,325669,975016,996165,1280438,2602522,151,153,157,157,765616.6667,1083873,1626375,4034106.912
HMMP,4634771,6600054,3761413,2591928,2585871,36,36,12,13,4998746,4317798.333,2979737.333,8076871.325
JTPA,460275,1264457,596309,1557518,2506557,16,6,12,15,773680.3333,1139428,1553461.333,2779579.546
FNWW,3185000,3916000,3535000,2600000,2497000,94,95,90,87,3545333.333,3350333.333,2877333.333,7697736.675
YHDV,1545827,1838779,1958124,2225910,2398666,16,8,18,24,1780910,2007604.333,2194233.333,3312865.402
OKPG,1680166,1628970,1876844,2072882,2385213,16,21,25,24,1728660,1859565.333,2111646.333,3437960.415
FEWW,1110081,801667,1678221,1539008,2327327,16,12,10,16,1196656.333,1339632,1848185.333,6464437.811
BSBT,1110230,1159075,1088014,2250000,1401829.75,16,12,10,16,1119106.333,1499029.667,1579947.917,2546989.151
TPRU,1295262.5,252962,802028,1981674,2144386,16,8,7,8,783417.5,1012221.333,1642696,2953726.875
ZJJY,228363,385887,610337,1031921,2089400,43,48,51,50,408195.6667,676048.3333,1243886,2937717.535
MGGE,4635956,8512113,6194450,2001424,5335985.75,42,40,24,25,6447506.333,5569329,4510619.917,8166850.354
VQVN,1882184,1006471,1467282,1682872,1920467,52,52,45,42,1451979,1385541.667,1690207,3127309.332
EAGQ,1722388,1871504,1927840,1445718,1900831,45,39,36,31,1840577.333,1748354,1758129.667,9602785.92
WEBV,1701850,1795276,1977586,1802891,1819400.75,16,8,7,8,1824904,1858584.333,1866625.917,1822748.926
MSZO,1684557,3732665,3732665,1800214,2737525.25,16,6,11,12,3049962.333,3088514.667,2756801.417,5634267.679
QVOT,990093,1465129,1753453,1741146,1487455.25,36,45,50,56,1402891.667,1653242.667,1660684.75,3084067.542
YKBR,1139350,1271059,1350051,1185176,1669556,16,4,4,4,1253486.667,1268762,1401594.333,1920122.353
FCYI,168279,289600,754308,921063,1624391,16,11,14,23,404062.3333,654990.3333,1099920.667,1647883.805
ZCBS,807549,1020966,1245523,1223750,1618317,16,8,18,24,1024679.333,1163413,1362530,2770925.212
RSVA,727818,719761,1450446,966008.3333,966008.3333,16,6,11,12,966008.3333,1045405.111,1127487.556,2328571.916
HOLZ,394823,463243,647139,1057095,1277318,16,12,10,16,501735,722492.3333,993850.6667,1505803.224
HTAB,606592,710689,1154199,1134939,1265613,36,36,20,19,823826.6667,999942.3333,1184917,2506833.191
RIPL,1770347,1705892,1878234,1786981,1257766,16,8,7,8,1784824.333,1790369,1640993.667,5150575.969
YCIR,1000356,1121510,1148173,1090013,1090013,16,21,25,24,1090013,1119898.667,1109399.667,1700859.855
WEZQ,924854,1140553,1177325,1134152,1094221,36,36,6,3,1080910.667,1150676.667,1135232.667,1490003.427
CMVW,730411,663011,1339354,1050164,1155704,16,6,6,7,910925.3333,1017509.667,1181740.667,1834140.113
CPGJ,550528,1073801,1179742,934690.3333,934690.3333,36,36,30,20,934690.3333,1062744.444,1016374.222,1522684.624
INBD,938182,594827,1034023,1037909,1085969,22,26,29,33,855677.3333,888919.6667,1052633.667,2648355.045
AMZR,1059966,1015153,1241012,1010971,1081775.5,36,36,7,10,1105377,1089045.333,1111252.833,2171183.841
LUDV,513714,513714,110032,504916,926194,16,6,6,7,379153.3333,376220.6667,513714,1104350.755
GCKQ,546659,508880,765896,2679703,917854,182,278,367,246,607145,1318159.667,1454484.333,3358445.809
ONRM,410911,628496,751684,832607,655924.5,16,8,8,10,597030.3333,737595.6667,746738.5,856802.5577
RXVG,339417.25,23194,149827,337713,846935,16,8,7,8,170812.75,170244.6667,444825,850834.9279
NMMN,552231,597427,783425,786023,845822,29,32,38,42,644361,722291.6667,805090,2616387.261
TDEG,241230,368589,600869,625667,841917,36,36,20,21,403562.6667,531708.3333,689484.3333,1549281.806
ROZQ,482177,839616,1116988,1030855,792789,16,14,17,15,812927,995819.6667,980210.6667,1087500.512
CUQX,514863,965757,700849,727156.3333,727156.3333,91,106,114,99,727156.3333,797920.7778,718387.2222,2379812.51
XHJV,342557,598732,458238,519135,730406,16,12,10,16,466509,525368.3333,569259.6667,1084167.157
RORB,359957,111515,183657,414656,730000,36,36,8,8,218376.3333,236609.3333,442771,940005.1148
UOXI,317893,357782,471136,594138,703100,36,36,10,12,382270.3333,474352,589458,1477331.674
VYZQ,1325914,1150936,837843,614224,982229.25,36,36,8,11,1104897.667,867667.6667,811432.0833,1239974.423
DADD,35275,15984,43356,249296,634813,36,36,2,2,31538.33333,102878.6667,309155,470835.5775
VEHQ,51646,103975,221801,178141,614596,16,12,10,16,125807.3333,167972.3333,338179.3333,761751.9427
IXWU,1375000,466673,558965,677259,595995,16,12,10,16,800212.6667,567632.3333,610739.6667,908502.4285
XIEP,551130,341650,737499,574241,551130,16,14,17,15,543426.3333,551130,620956.6667,1032594.474
TNNU,378307,533479,721426,837510,551066,16,5,5,5,544404,697471.6667,703334,835836.1015
PUVZ,286340.25,6897,232904,379640,525920,36,36,12,13,175380.4167,206480.3333,379488,2490427.134
TJCA,300448,303709,540795,509665,413654.25,16,4,4,4,381650.6667,451389.6667,488038.0833,694154.0038
IJAJ,46514,112191,160717,248452,511919,36,36,6,3,106474,173786.6667,307029.3333,565952.6338
BJJT,247671,359862,361150,472370,483391,16,8,8,10,322894.3333,397794,438970.3333,860520.9417
ZWEX,1437224,428099,1050769,1095483,477864,36,36,10,12,972030.6667,858117,874705.3333,1001756.374
NTCB,625000,523948,465933,538293.6667,538293.6667,16,6,6,7,538293.6667,509391.5556,514173.4444,515051.8427
OMMU,19371,240309,306167,541198,432944,16,4,4,4,188615.6667,362558,426769.6667,735265.9952
NJXB,694162,694985,612291,395668,599276.5,16,8,8,10,667146,567648,535745.1667,748911.0733
QGPD,5000,39684,355785,133489.6667,133489.6667,16,12,10,16,133489.6667,176319.5556,207588.1111,501210.0717
CUIE,133029,160927,179017,253735,321680,16,4,3,3,157657.6667,197893,251477.3333,476668.2427
CKFA,194456.5,69739,192183,221878,294026,16,4,3,3,152126.1667,161266.6667,236029,491614.3685
IDXC,207084,21661,278677,264068,263930,16,10,15,24,169140.6667,188135.3333,268891.6667,762478.9754
DUCF,82650,101287,235864,139933.6667,139933.6667,16,4,4,4,139933.6667,159028.2222,171910.4444,282421.1442
TWZT,71310,273056,253486,175718,175598,65,44,34,31,199284,234086.6667,201600.6667,642722.5504
ZZCS,413826,450715,288955,117721,175527,16,4,3,3,384498.6667,285797,194067.6667,562425.9727
TBPB,280771.3333,168913,503432,169969,280771.3333,36,36,2,2,317705.4444,280771.3333,318057.4444,468373.0994
OAMU,186880,212179,161581,186880,186880,16,6,12,15,186880,186880,178447,691784.9437
MMPH,792767,849177,532601,374837,160170,16,10,15,24,724848.3333,585538.3333,355869.3333,1974886.976
ZFEV,636483,677974,139544,484667,484667,182,204,107,107,484667,434061.6667,369626,1234811.19
IEKE,91749,15462,20045,116348,60901,36,36,8,11,42418.66667,50618.33333,65764.66667,179161.5048
MCRN,96930.33333,107413,68933,96930.33333,114445,16,8,7,8,91092.11111,91092.11111,93436.11111,314966.5919
CKIP,92830,95897,89047,102078,94963,36,36,16,1,92591.33333,95674,95362.66667,65130.88625
SOGK,30102,41467,93140,54903,54903,16,4,3,3,54903,63170,67648.66667,110569.1279
HJJP,44824,72727,140035,94386,84911,16,2,2,2,85862,102382.6667,106444,152285.0927
IXAR,96452,90840,78438,89596,78373,24,26,28,34,88576.66667,86291.33333,82135.66667,114702.1492
VQOT,125000,120629,73563,75000,98548,16,12,9,8,106397.3333,89730.66667,82370.33333,288157.6392
LRVD,1361,10854,90663,111637,76181,16,4,3,3,34292.66667,71051.33333,92827,315138.3231
BEZL,55876,59047,42479,68205,56401.75,16,2,2,2,52467.33333,56577,55695.25,76693.62167
CHNY,119109,154383,163651,133612,67568,63,64,63,66,145714.3333,150548.6667,121610.3333,2242916.952
YPLI,174158,394426,342256,104031,61069,16,8,8,10,303613.3333,280237.6667,169118.6667,710763.4546
TLLW,66177,35706,244615,104219,43756,16,4,3,3,115499.3333,128180,130863.3333,237822.3446
RRRT,374354,435325,227809,40217,269426.25,16,8,8,10,345829.3333,234450.3333,179150.75,504995.6192
GZFW,137408,155134,104372,58974,35430,16,4,4,4,132304.6667,106160,66258.66667,240978.7504
KGVY,11973,31671,14577,1546,30024,36,36,7,10,19407,15931.33333,15382.33333,71386.32646
BJUF,16365,526190,150780,66975,24860,36,36,2,2,231111.6667,247981.6667,80871.66667,411052.7396
FEIB,20409.75,24852,22843,17537,16407,18,23,29,31,22701.58333,21744,18929,116491.7869
PKFF,10000,99504,100990,12053,55636.75,16,2,1,4,70164.66667,70849,56226.58333,196442.5498
BSFI,28640,12000,8247,11000,14971.75,36,36,16,1,16295.66667,10415.66667,11406.25,31853.24792
NBMB,16472,22772,19239,13716,10267,16,8,8,10,19494.33333,18575.66667,14407.33333,67729.00542
ZTFT,401954,646622,438854,228251,6183,258,245,231,206,495810,437909,224429.3333,1133933.348
KYHF,126,1564,159,1270,4227,16,5,5,5,616.3333333,997.6666667,1885.333333,4085.892083
WIFQ,242667,3331,83255,83255,3767,36,36,30,20,109751,56613.66667,56759,1011972.625
SAQK,302,235,1563,13628,3480,32,5,5,5,700,5142,6223.666667,47516.22125
OGAB,2193,3034,608,1945,1945,16,2,1,4,1945,1862.333333,1499.333333,5177.396667
HUXS,156086,124526,50927,5632,604,16,2,2,2,110513,60361.66667,19054.33333,159933.461
OZYC,332059,114378.3333,114378.3333,10573,503,36,36,2,2,186938.5556,79776.55556,41818.11111,182263.1635
VAIL,78424,67412,12387,52741,52741,36,36,17,17,52741,44180,39289.66667,96000.63771
GSKH,286941,120819,203880,203880,203880,16,4,4,4,203880,176193,203880,374145.605
JQSI,24525,11683,39100,22792,24525,36,36,2,2,25102.66667,24525,28805.66667,55704.3725
ALCP,567,297,432,432,432,32,2,2,2,432,387,432,1234.091875
ALAZ,21160,12591.5,12591.5,4023,12591.5,36,36,2,2,15447.66667,9735.333333,9735.333333,10143.03292
POSA,473954,797455,741634,137798,537710.25,16,12,10,16,671014.3333,558962.3333,472380.75,1219897.448
IKEZ,45925,54099,50012,50012,50012,16,4,4,4,50012,51374.33333,50012,84915.4625
DJJC,793738,1066511,377910,746053,746053,33,33,32,32,746053,730158,623338.6667,1377058.885
JRJG,29176,18549,362,114830,40729.25,998,1020,1031,1046,16029,44580.33333,51973.75,1921382.236
CCRV,984922,45575,515248.5,515248.5,515248.5,36,36,12,13,515248.5,358690.6667,515248.5,2633913.483
CQYI,4398800,3883767,4258422,5149542,4422632.75,63,64,64,64,4180329.667,4430577,4610198.917,6497042.194
EMNE,1013806.667,607318,1084955,1349147,1013806.667,16,10,16,45,902026.5556,1013806.667,1149302.889,2869252.659
SKZM,886868,697931,926000,836933,836933,16,2,2,2,836933,820288,866622,1274227.083
RSHY,256165,557521,226549,346745,346745,16,10,15,24,346745,376938.3333,306679.6667,1272449.967
MTQU,1320510,356359,158280,611716.3333,611716.3333,16,4,4,4,611716.3333,375451.7778,460570.8889,743192.7379
DBSD,13727960000,14621738000,16276150000,17336708000,18638220000,4071,5612,6077,6468,14875282667,16078198667,17417026000,17929185771
WEPU,2736639635,2490053624,4329479237,9285973384,10385040213,278,286,183,141,3185390832,5368502082,8000164278,7427161740
ZKLD,3571512000,4692649000,6542462000,9140619000,10263221000,13019,12392,14043,15142,4935541000,6791910000,8648767333,8164235784
VGOP,5650977000,7122431000,8532271000,9571550000,7719307250,13019,15669,16109,15971,7101893000,8408750667,8607709417,8230032137
FUEY,7446216972,7576162635,7782320048,8226153161,9036136202,3671,4080,4267,4453,7601566552,7861545281,8348203137,8293438323
DPTV,5821000000,6490000000,7077000000,7931000000,8085000000,15425,16590,17246,17748,6462666667,7166000000,7697666667,8058564096
BCSA,2968400000,3655700000,4500800000,5406600000,6500800000,4848,5807,5976,6489,3708300000,4521033333,5469400000,8005784892
OGBU,3740000000,3665000000,4573000000,5474000000,5559000000,3223,3377,3468,3249,3992666667,4570666667,5202000000,6841796735
NJOI,2953000000,3009000000,3667000000,4533000000,4982000000,2294,2361,2458,2522,3209666667,3736333333,4394000000,5414400150
QONF,1619972290,2588040438,3231265242,3304050536,4248873870,4564,5100,6023,6307,2479759323,3041118739,3594729883,4189208916
CRTG,247730000,823300000,971706605,3254480159,4205444807,939,1233,1525,1568,680912201.7,1683162255,2810543857,2708738609
BWFF,2762912000,2783652000,2825621000,3450940000,4004766000,51,63,66,55,2790728333,3020071000,3427109000,5142925386
NCRQ,1747300000,1689000000,2006300000,3711800000,3951700000,2328,2453,2534,2497,1814200000,2469033333,3223266667,3992246744
AIID,1587749286,1712708061,2094567874,2698326275,3016359657,3144,4022,3909,3122,1798341740,2168534070,2603084602,2444568102
VHLD,2617929669,3242167423,4079304352,3705873518,3411318741,179,187,200,183,3313133815,3675781764,3732165537,6372822267
LPTY,2126500000,2289100000,3698300000,4135400000,3759700000,33,33,33,32,2704633333,3374266667,3864466667,5685977932
DBHW,2880631000,3112067000,3698240000,3733732000,3733159000,475,482,499,544,3230312667,3514679667,3721710333,4497343548
XHVQ,3767000000,3551000000,3285300000,3348100000,3715900000,5067,5272,5430,5450,3534433333,3394800000,3449766667,3907389042
HEPP,2722013000,2959757000,3832004000,3189116000,3591751000,1127,1307,1391,1401,3171258000,3326959000,3537623667,4018944130
BJOG,1669626000,2435426000,3524289000,3646612000,3338364000,5340,5428,5710,5680,2543113667,3202109000,3503088333,4159077824
FUKV,1626665378,2848314920,3342292178,3343847528,3069442093,856,928,972,979,2605757492,3178151542,3251860600,4249160091
EFHZ,1537492000,1718006000,1912149000,2388614000,2706563000,674,665,793,864,1722549000,2006256333,2335775333,2256449232
AFCY,1945779000,2045348000,2107524000,2360865000,2481046000,2634,2714,3050,2932,2032883667,2171245667,2316478333,2283327543
ISOJ,1718133877,1985272391,2196130635,2238583378,2352103421,3233,3672,4411,4505,1966512301,2139995468,2262272478,2156142686
KBRY,2307494000,2315575000,2386109000,2271476000,2368529000,16,4,4,4,2336392667,2324386667,2342038000,2437150453
BRSN,1577730644,1860074182,2093274176,2259835305,2408484311,41,48,49,50,1843693001,2071061221,2253864597,2322573176
SCTF,2193709000,2157694000,2231056000,2284178000,2336131000,76,83,86,86,2194153000,2224309333,2283788333,2340184671
TEGR,3296340857,2842345470,2736372748,2338735796,2297156992,275,282,318,317,2958353025,2639151338,2457421845,3002405694
WMGE,200734000,299138000,609700000,1069500000,2215500000,6214,5306,7204,10792,369857333.3,659446000,1298233333,1317677084
VFBX,2004541000,2005087000,2161436000,2047212000,2197211000,653,659,664,690,2057021333,2071245000,2135286333,2018360627
FPBJ,2025597000,2179622000,2309336000,2233176000,2186219000,1127,1321,1418,1451,2171518333,2240711333,2242910333,2235055318
EHCK,2441085000,1972209000,1829757000,2080295000,2174015000,84,83,79,81,2081017000,1960753667,2028022333,2010781534
CEOJ,775873000,1034266000,1497000000,2022200000,1332334750,3122,2867,3608,4001,1102379667,1517822000,1617178250,1920379069
LBTT,1896226432,1917987983,1960270169,1933496033,1985944755,4111,5020,5089,4927,1924828195,1937251395,1959903652,2155612803
NJXK,19310412,36260288,44409042,56391734,1845055645,27,28,32,33,33326580.67,45687021.33,648618807,274842456.1
TEID,1129954000,1315742000,1417589000,1613383000,1836889000,1928,1800,2042,2373,1287761667,1448904667,1622620333,1926201061
SQBJ,1646700000,1651000000,1590400000,1572500000,1732400000,372,392,426,465,1629366667,1604633333,1631766667,1668361973
NRQM,1490425303,14848644,1864198156,2379282911,1703371502,1041,1046,1037,1004,1123157368,1419443237,1982284190,1897372634
OPYG,1095591805,1670247855,2007935833,1840393081,1597041290,240,235,238,242,1591258498,1839525590,1815123401,2197725671
JIIM,1083503000,922845000,1614596000,1793917000,1583043000,3009,3314,3847,4802,1206981333,1443786000,1663852000,1951850574
PWOJ,740095000,945933000,1159494000,1346175000,1528730000,602,594,663,681,948507333.3,1150534000,1344799667,1517382921
XXPM,1354271000,1390820000,1476796000,1517681000,1474599000,28,30,29,32,1407295667,1461765667,1489692000,1539580736
FXWD,850501000,847895000,1057582000,1267345000,1472111000,226,244,263,268,918659333.3,1057607333,1265679333,1396749353
MFLB,1818643187,1722520599,2631453036,2884882586,1634183819,2603,2923,3125,3370,2057538941,2412952074,2383506480,2821263701
BTYZ,661781000,728180000,787327000,1053766000,1408491000,986,1047,1143,1164,725762666.7,856424333.3,1083194667,1201366430
DCIL,2109181553,2099872556,1806844087,1371633289,1394237876,488,584,688,788,2005299399,1759449977,1524238417,2304924886
VOME,544721162,726086440,1009264060,1149515071,1382966604,421,472,494,544,760023887.3,961621857,1180581912,1373757304
SPFT,1484411792,1448841261,1301319964,1290803355,1343565162,252,306,317,330,1411524339,1346988193,1311896160,1408913291
FPSE,1058670422,1058670422,828797574,1015370756,1331842937,1869,1933,2228,2587,982046139.6,967612917.4,1058670422,1282294254
YCUP,778402598,826296733,848662582,1073343025,1284916001,74,86,92,92,817787304.3,916100780,1068973869,1200598750
XBLL,778402598,826296733,848662582,1073343025,1284916001,360,343,369,396,817787304.3,916100780,1068973869,1338662240
FNGA,1330904000,1263559000,1300140000,1241720000,1284080750,2968,3076,3314,3361,1298201000,1268473000,1275313583,1462714519
NCPO,25709346,40360802,60819591,88597360,1245740581,592,604,722,737,42296579.67,63259251,465052510.7,358304865.4
VYLY,867739500,688128000,819124000,953168000,1010538000,16,4,3,3,791663833.3,820140000,927610000,1059242483
GPTD,1101340000,1106989000,1133619000,1112859000,996007000,158,175,171,186,1113982667,1117822333,1080828333,1241923606
TBZE,464054505,402988916,347346001,288084317,935297323,368,397,416,435,404796474,346139744.7,523575880.3,536320093.5
GHTU,831868000,862452000,890190000,915208000,945955000,36,36,8,8,861503333.3,889283333.3,917117666.7,1049572866
SAEG,740892000,792122000,813387000,864730000,897159000,494,663,728,764,782133666.7,823413000,858425333.3,1064929647
OFGU,60580000,209091000,155917000,317845000,895890000,732,716,908,1355,141862666.7,227617666.7,456550666.7,510307467.6
QVOL,498303510,601495366,613160395,734376049,865203958,4017,4508,4910,4952,570986423.7,649677270,737580134,1069494983
QIND,316186339,406602055,441630901,671236988,853905145,68,71,83,91,388139765,506489981.3,655591011.3,518490655.2
XHZD,755242836,644081900,804432100,845296600,762263359,149,152,158,188,734585612,764603533.3,803997353,1064266592
VJZM,538404598,678840728,709164349,825079225,849207359,36,36,8,7,642136558.3,737694767.3,794483644.3,932563068.2
WPQY,883530868,725073825,699491618,769606599,832294928,2072,1877,1878,1920,769365437,731390680.7,767131048.3,1008637220
SHLV,821651812,715828583,725918441,771711660,803059221,1916,1966,1928,2020,754466278.7,737819561.3,766896440.7,1033183363
FFUY,677532247,660347287,686600227,738257806,786328429,794,827,845,846,674826587,695068440,737062154,1168778857
RLBD,485893000,480529000,513934000,659979000,763622000,3578,5566,6146,6428,493452000,551480666.7,645845000,843520819.3
MUDQ,1006607000,987329000,902896000,860606000,745341000,5340,5359,5540,5542,965610666.7,916943666.7,836281000,853324995.3
JHRI,379095767,503357184,557434273,636167026,735227650,1454,1675,1756,1796,479962408,565652827.7,642942983,678451066.9
LXCF,570555281.5,431967960,452203656,675468425,722581085,279,278,296,312,484908965.8,519880013.7,616751055.3,582664868.7
TYJP,730113000,678936000,729982000,905120000,721230000,283,295,326,338,713010333.3,771346000,785444000,1084481478
CXMF,176074576,244287830,317726026,405258116,715494800,335,414,596,765,246029477.3,322423990.7,479492980.7,542761603.5
TPZA,819293230,701684581,650065522,699412756,717614022.3,655,675,724,774,723681111,683720953,689030766.8,1459722148
RWDI,585971000,585971000,471692000,579856000,706365000,16,8,8,10,547878000,545839666.7,585971000,639227467.5
WCXA,126894000,179595000,287007000,539906000,701746000,80,97,119,132,197832000,335502666.7,509553000,464064304.7
JWVE,680769873,694489428,717126453,716325316,699255185,36,37,40,44,697461918,709313732.3,710902318,743537717.6
MJIE,733749729,669622767,691376414,716574667,713695773,3436,3589,3886,3868,698249636.7,692524616,707215618,775025590.1
VTGZ,534034116,519350572,602451886,618352531,716528258,2571,2586,2722,2896,551945524.7,580051663,645777558.3,710287919
CTIH,273617675,284080276,386889232,630330442,685027821,76,83,87,101,314862394.3,433766650,567415831.7,496327266.2
WAYE,1735383396,1836205481,690540560,685893417,680560093,1178,1242,1279,1310,1420709812,1070879819,685664690,1470453157
NRUA,569984000,624025000,690975000,680280000,660109000,104,114,108,108,628328000,665093333.3,677121333.3,709492450.9
FPQE,352971798,334438062,494106894,640076593,455398336.8,1860,1827,1575,1484,393838918,489540516.3,529860607.9,827809255.4
KFAN,807355608,1024372878,629429057,620269556,770356774.8,7823,9899,9679,9540,820385847.7,758023830.3,673351795.9,1071371568
HJUG,517932000,532412000,586317000,609186000,561461750,383,418,430,444,545553666.7,575971666.7,585654916.7,566043229.9
KRYQ,693680000,661102000,602869000,590532000,637045750,1038,1102,1217,1189,652550333.3,618167666.7,610148916.7,643046420.4
LPDG,525077829.5,525077829.5,469983642,580172017,525077829.5,733,770,815,838,506713100.3,525077829.5,525077829.5,622058092
QLPT,573646420,572518538,556188043,567822894,584939534,154,154,155,151,567451000.3,565509825,569650157,560633320.3
MZDE,259982000,246508000,316163000,444479000,599460000,888,901,979,1029,274217666.7,335716666.7,453367333.3,555385217.9
GTXQ,533932000,585469000,506417000,543042000,583738000,465,494,496,566,541939333.3,544976000,544399000,582176678.6
UEMZ,377772000,508625000,530518000,563663000,580294000,538,565,580,573,472305000,534268666.7,558158333.3,594517984.1
GWCI,458449910,490195227,527712943,526491059,569503170,234,259,256,232,492119360,514799743,541235724,541846243.5
XYAI,568585000,566824000,593669000,565301000,567562000,13019,114826,120309,123853,576359333.3,575264666.7,575510666.7,660842012.1
KQXV,529055250,478923000,514621000,557136000,565541000,16,8,8,10,507533083.3,516893333.3,545766000,573522234.6
LFXC,446938000,573299000,521430000,510930000,561585000,1869,1926,2112,2108,513889000,535219666.7,531315000,704060202.5
QIMS,650519000,484121000,533604000,561636000,554238000,212,226,242,253,556081333.3,526453666.7,549826000,556098758.2
TFVZ,302748000,325813000,356570000,477640000,552573000,858,992,1081,1045,328377000,386674333.3,462261000,571715422.6
CMCT,321067723,359290665,412361450,448973605,529585830,102,102,105,105,364239946,406875240,463640295,524960053.9
ZGTF,163444000,203471000,290115000,446694000,522935000,1223,1367,1549,1686,219010000,313426666.7,419914666.7,502663688.1
BNDV,343778000,371140000,431951000,478222000,504668000,280,348,335,346,382289666.7,427104333.3,471613666.7,479977508.1
RYHV,587426742,552973462,646349188,528218309,503353125,124,121,113,112,595583130.7,575846986.3,559306874,554797528.7
YVYB,557183678,587201457,638504884,651571953,500446345,838,946,944,905,594296673,625759431.3,596841060.7,565764270.7
YFBZ,355959288,383159415,440172389,453262202,497923263,36,36,2,2,393097030.7,425531335.3,463785951.3,464277475.3
LEIB,428189339.7,428189339.7,354771490,436192592,493603937,246,231,206,216,403716723.1,406384473.9,428189339.7,450082602.2
BWZY,509642320,517501264.5,543076993,544359066,472926679,158,164,167,185,523406859.2,534979107.8,520120912.7,523394925.2
IHJK,197674000,262008000,323295000,378674000,454159000,771,869,1011,1128,260992333.3,321325666.7,385376000,563116017.8
ZWZI,5496000,8132000,311413000,479806000,452043000,215,219,243,254,108347000,266450333.3,414420666.7,420037501.7
RJYO,448917749,453510241,457036879,438369184,449458513.3,391,426,417,418,453154956.3,449638768,448288192.1,457872343.7
JICD,3717000,45331000,149720000,337021000,435450000,90,123,146,165,66256000,177357333.3,307397000,283888679.5
BVDD,228418000,291188000,352442000,396605000,430390000,388,378,421,429,290682666.7,346745000,393145666.7,505194658.6
RFJK,269404000,384157000,397184000,350248333.3,350248333.3,118,136,183,265,350248333.3,377196444.4,365893555.6,468230419.7
IANE,292252382,332036525,386497870,415528016,356578698.3,202,207,216,170,336928925.7,378020803.7,386201528.1,497119057.4
WFNH,314279894,330815508,361427971,393170562,421681374,208,246,339,402,335507791,361804680.3,392093302.3,521983292.1
FDQB,355103527.7,315366815,351318052,398625716,355103527.7,94,99,78,80,340596131.6,355103527.7,368349098.6,503660148.7
PWHZ,331295142,373771146,386952526,422943018,412921542,272,301,303,314,364006271.3,394555563.3,407605695.3,556620340.5
UYWH,37357401,55881818,61600122,119193826,409137493,178,255,348,382,51613113.67,78891922,196643813.7,193493405.1
AKTV,415563598,365990760,365023699,392174173,395840923,61,92,113,109,382192685.7,374396210.7,384346265,581475158
OERM,354158500,315106000,327566000,373160000,400802000,200,196,191,191,332276833.3,338610666.7,367176000,415574694.4
XHRO,276949000,256272000,288619000,349125000,385241000,124,132,157,174,273946666.7,298005333.3,340995000,360110022.6
WZAI,247420000,299002000,325863000,371719000,380136000,272,304,298,287,290761666.7,332194666.7,359239333.3,395886962.3
COSN,124585900,174504681,212619813,303112726,389707049,1072,1377,1689,1854,170570131.3,230079073.3,301813196,289982372.8
JOHZ,247930079,303478879,342799036,364218324,367483352,640,664,661,671,298069331.3,336832079.7,358166904,400214969.4
VNRT,76359000,115461000,178385000,245418000,365752000,1261,1356,1343,1690,123401666.7,179754666.7,263185000,321287962.4
QWAG,75177134,159647860,169864414,283021581,346213941,350,383,532,660,134896469.3,204177951.7,266366645.3,300015327.3
JPDX,147667759,187169478,213448895,234535627,340069238,126,144,182,211,182762044,211718000,262684586.7,267929674.1
KLFB,261519222,256745553,274075340,296953574,337930646,547,594,573,580,264113371.7,275924822.3,302986520,376699745.6
WWHM,169556152,156158707,239296589,243396931,336235893,16,14,17,15,188337149.3,212950742.3,272976471,287594967.5
EDRE,35235168,78050829,133850611,208918318,344212109,779,1070,1443,1694,82378869.33,140273252.7,228993679.3,334926673.8
BGLY,323714202,339288673,313209982,325404285.7,325404285.7,162,155,156,159,325404285.7,325967646.9,321339517.8,348609537
NFFU,213104000,236615000,262883000,291194000,333567000,16,2,1,4,237534000,263564000,295881333.3,308124973.8
MMCV,88922589,147783902,205143289,270818091,326510457,254,270,316,329,147283260,207915094,267490612.3,288901964.9
NUNY,164036582,161195745,241943097,319946753,221780544.3,785,917,927,950,189058474.7,241028531.7,261223464.8,406906420.9
JVCY,164036582,161195745,241943097,319946753,221780544.3,102,106,104,103,189058474.7,241028531.7,261223464.8,300168319
AAXH,147035191,152608220,173690129,323434845,199192096.3,44,43,42,46,157777846.7,216577731.3,232105690.1,236613020.3
BCFV,154826867,121140360,157197588,310731721,185974134,283,277,279,200,144388271.7,196356556.3,217967814.3,273428377.9
GUBM,239592739,275742600,306207178,309564871,282776847,856,882,842,760,273847505.7,297171549.7,299516298.7,363583876.1
BVKK,302257351,324530372,312138070,320249704,311981672,57,60,62,70,312975264.3,318972715.3,314789815.3,428224029
FZEG,159573250,4022000,113939000,208753000,311579000,793,778,1076,1207,92511416.67,108904666.7,211423666.7,243322674.7
IFDM,60836000,176739000,188341000,180510000,303619000,184,233,242,359,141972000,181863333.3,224156666.7,237464165.9
WXWG,56777000,85428000,148473000,242600000,296500000,124,146,181,223,96892666.67,158833666.7,229191000,246525429.7
MRKM,111055000,154192000,222172000,262389000,293234000,610,615,637,560,162473000,212917666.7,259265000,271050813
ROQU,243047411,241971691,271622068,294007677,291969347,169,188,204,212,252213723.3,269200478.7,285866364,311005365.4
